,advisor,author,date_issued,date_created,abstract,subject,title,type
22,"Orihuela Paredes, José Carlos","Shimabukuro Maehira, Gaby",2023-01-17,2022,"Durante los años 2017-2019, la empresa Infopyme proveedora de servicios de recaudación y mantenimiento de la planta TUPs, presentó diversas ofertas de negocio, desde propuestas de ser socios estratégicos hasta la adquisición total de activos y cartera de clientes. Por ello, en este Trabajo de Suficiencia Personal (en adelante TSP) presentaré a partir de mi trabajo como líder del área de Rentabilidad en la Gerencia de Estrategia, el rol que cumplí como responsable de la Coordinación del Proyecto TUPs durante los años 2019-2020, teniendo como principales funciones, la determinación del valor del negocio, el levantamiento de los riesgos que se podrían suscitar con la posterior venta, así como el destrabar los procesos que dificultaban el cierre de la negociación, precisamente en las áreas legales, sistemas, facturación y comercial.
Between 2017 and 2019, Infopyme - a provider of collection and maintenance services to TUP; presented several business proposals that went from establishing a strategic partnership to the full acquisition of assets and customer portfolio. Thus, as part of this Personal Sufficiency Work (TSP), I will leverage my experience as Head of the Profitability Area within the Strategy Department to describe my role as coordinator of the TUP project during 2019-20. Key functions for this role included business valuation, assessment of post-sale risks and addressing issues delaying the closing of the transaction in areas like legal, technology, billing and comme","Telecomunicaciones--Perú--Leyes y legislación
Teléfono--Perú--Leyes y legislación
Venta--Perú
Negocios--Perú",Evaluación de venta del negocio de telefonía pública urbana: una experiencia desde el área de estrategia de Telefonía del Perú,https://purl.org/pe-repo/renati/type#tesis
30,"Orihuela Paredes, José Carlos","Gómez Del Corzo, Boris Martín",2023-01-16,2022,"El presente Trabajo de Suficiencia Profesional (TSP) tiene por objeto exponer mi experiencia profesional en el Ministerio de Comercio Exterior y Turismo del Perú (MINCETUR)1 desde el año 2009 hasta el año 2021, haciendo hincapié en la política comercial que el Perú ha llevado a cabo con los últimos gobiernos de turno. Los primeros años de mi ejercicio profesional en el MINCETUR fueron de mucho aprendizaje. En esa etapa (2009-2015), mi labor era la de ejecutar la política comercial que era liderada por el ministro de Comercio Exterior y Turismo y el viceministro de Comercio Exterior. En una segunda etapa de mi ejercicio profesional que inicia en el año 2015 hasta el año 2021, he trabajado en los despachos de ministros y viceministros donde he tenido la oportunidad de ser parte del equipo que define y asesora sobre la política comercial del país, los cambios o ajustes que se deben tener sobre la misma, así como contribuir con la Política General de Gobierno debido a la estrecha coordinación con la Presidencia del Consejo de Ministros.","Políticas públicas--Perú
Política comercial--Perú
Exportación--Perú
Comercio exterior--Perú
Toma de decisiones",Toma de decisiones en la política Comercial del Perú 2009-2021,https://purl.org/pe-repo/renati/type#tesis
41,"Villavicencio Vasquez, Julio Alberto","Caceres Vasquez, Mariana",2023-01-13,2022,"El carry trade es una estrategia que consiste en financiarse en monedas asociadas a bajas tasas de interés e invertir en monedas con tasas de interés altas. Si bien esta estrategia especulativa puede generar una apreciación de las monedas de inversión, eventualmente ante eventos de riesgo puede devaluar abruptamente estas divisas, que típicamente son monedas de países emergentes como el sol. En esta investigación, se siguen los trabajos de Brunnermeier et al. (2009), Cox y Carreño (2016) y Gamboa-Estrada (2017). Se toma la hipótesis del primer trabajo, adaptándola al contexto peruano. La hipótesis central de este trabajo es que el carry trade aumenta el riesgo de turbulencia cambiaria del sol, medido por la asimetría. Se utilizan la rentabilidad del carry trade como incentivo para realizar la estrategia y la posición neta de contratos non-delivery forward de la banca local como proxy de la actividad de carry trade. A través de un análisis econométrico para el dólar estadounidense y el sol para tres horizontes (trimestral, semestral y anual), se encuentra que el carry trade entre estas dos divisas está asociado a un riesgo de caída del sol en el horizonte anual. Asimismo, se agrega al análisis una variable de intervención cambiaria del Banco Central, y se halla que esta contribuye a controlar los riesgos asociados al carry trade. Posteriormente, al excluir los periodos de crisis de las observaciones, se encuentra que el impacto del carry trade sobre la asimetría es mayor en periodos con menor volatilidad.
The currency carry trade strategy consists of financing in currencies with low interest rates and investing in currencies with high interest rates. Although this speculative strategy can generate an appreciation of investment currencies, eventually may lead to a sharply devaluation of these currencies, which are typically from emerging countries like the Peruvian sol. In this investigation, the analysis of Brunnermeier et al. (2009), Cox and Carreño (2016) and Gamboa-Estrada (2017) are used as a basis. The hypothesis of the first paper is taken, adjusting it to the Peruvian context. The main hypothesis of this research is that the carry trade increases the currency crash risk of the Peruvian sol, measured by the skewness. The return of the carry trade is used as the incentive to carry out the strategy and the net position of non-delivery forward contracts of local banks as a proxy for the carry trade activity. Through an econometric analysis for the US dollar and the Peruvian sol for three horizons (quarterly, semiannual and annual), it is found that the carry trade between these two currencies exhibits a crash risk for the Peruvian sol within the annual horizon. Further, a variable of Central Bank foreign exchange intervention is added to the analysis, and it is found that it contributes to controlling the risks associated to the carry trade. Subsequently, when excluding periods of crisis from the observations, it is found that the impact of the carry trade on the skewness is greater in times of lower volatility.","Cambio exterior--Perú
Administración de divisas--Perú
Tipos de cambio--Perú
Riesgo de cambio--Perú",Análisis del efecto de la estrategia de divisas carry trade sobre la asimetría de los retornos del tipo de cambio en el mercado cambiario peruano (2007 ? 2022),https://purl.org/pe-repo/renati/type#tesis
51,"Garcia Nuñez, Luis Javier","Monar Santillán, Allison Zahí",2022-10-27,2022,"Esta tesis tiene por objetivo analizar qué diferencias existen entre las jefaturas según los determinantes del ahorro voluntario en los hogares peruanos. Si bien hay un crecimiento sostenido dentro del ahorro familiar, no se tiene en claro ¿cuáles son las decisiones que motivan a las jefaturas a ahorrar voluntariamente?, ¿Qué jefatura tiene mayor probabilidad de ahorro? y ¿En qué etapa de la vida se tiene más presente el ahorro? En base a teorías de ingreso-consumo donde el individuo busca optimizar sus ingresos para ser consumidos en el período menos activo de su vida y ampliando el panorama con la revisión empírica internacional y nacional. La hipótesis planteada sería que la intención de ahorrar en las jefaturas está compuesta por características propias (educación, edad, miembros), características económicas (condición laboral, pobreza, ingresos), métodos de ahorro (guardar dinero en casa o comités de ahorro), componentes geográficos y nivel económico. Para ello, se trabajará con los datos proporcionados por la Encuesta Nacional de Hogares (ENAHO) bajo dos modalidades: la primera usando MCO (Mínimos Cuadrados Ordinarios) para el año 2019 siguiendo la metodología de Alvarado y Galarza y el segundo bajo un modelo de efectos fijos con datos de panel para el 2016-2020. Por un lado, el cuadro desglosará cuatro escenarios según jefatura y el otro comparará dos ciclos de vida, uno para la jefatura joven y la última la jefatura longeva. En síntesis, se comprueba que la situación económica que atraviesa la jefa o el jefe influye en la probabilidad de ahorrar, no obstante, las características propias no tendrían un impacto positivo en el ahorro. Para el año 2019, ser jefa de hogar en área rural incentiva al ahorro voluntario como lo es para los jefes en situación de pobreza. Finalmente, para el periodo (2016 - 2020) se muestra que las remesas fueron favorables en todos los apartados, así como los programas sociales que tienen mayor incidencia en la zona urbana y parte de los hogares en situación en pobreza.","Ahorro e inversión--Perú
Igualdad de género--Perú",Diferencias de género en los determinantes del ahorro voluntario: Evidencia empírica para los hogares peruanos,https://purl.org/pe-repo/renati/type#tesis
52,"Ataurima Arellano, Miguel","Guzman Pingo, Jelfert Agriel",2022-10-27,2022,"Este documento estima la elasticidad y boyanza de los ingresos tributarios respecto al producto condicionado por el estado del ciclo económico (auge/recesión) para el Perú. Las categorías impositivas consideradas para el estudio son el IGV total, Impuesto a la Renta (IR), y las respectivas subcategorías Interno e Importaciones para el IGV, y personas naturales y jurídicas para el IR en el periodo 1995Q1?2019Q4. Los resulta- dos obtenidos son consistentes con la literatura empírica y evidencian la existencia de asimetría y no linealidad en la elasticidad de corto plazo. En particular, se encuentra que el Impuesto a la Renta de personas jurídicas (IR?PJ) es la categoría impositiva más elástica y de mayor magnitud de boyanza en el corto y largo plazo. Específica- mente, en el largo plazo la elasticidad del IR?PJ respecto al producto estimada es 1.7; mientras que en el corto plazo lineal es de 2.87. Asimismo, bajo la especificación de corto plazo no lineal, las estimaciones muestran que bajo un régimen expansivo del 1 % del PBI, el IR?PJ aumenta en 2.48 %; mientras que bajo un régimen recesivo de la misma magnitud, el IR?PJ se reduce en 5.22 %, evidenciando ser la categoría impositiva que presenta el mayor crecimiento y el mayor descenso en las fases de ex- pansión y recesión, respectivamente. Esta fuerte dependencia del IR?PJ con el ciclo económico, según la literatura internacional, es generalmente explicado por un efecto denominado arrastre de pérdidas (loss carry forward).","Política fiscal--Perú
Economía--Perú
Recaudación de impuestos--Perú",La recaudación tributaria en el ciclo económico: Un cálculo de elasticidades y boyanza de ingresos por impuestos para la economía peruana,https://purl.org/pe-repo/renati/type#tesis
53,"Orihuela Paredes, José Carlos","Toledo Ruiz, Katia Maritza",2022-09-02,2022,"El aumento de los ingresos fiscales es fundamental para financiar desarrollo en Perú. Sin embargo, prácticas de abuso fiscal empresarial como la erosión de bases imponibles y el traslado de beneficios a territorios de menor imposición amenazan la recaudación de dichos ingresos. Para enfrentar este problema, los países introducen en sus legislaciones normas de precios de transferencia. Este estudio estima el efecto de la reforma de precios de transferencia sobre el pago de impuestos a nivel de empresas, que se implementó en Perú en el 2017. Dado el importante rol que juegan las firmas consultoras en los esquemas de elusión fiscal, también se incluye el efecto sobre el gasto en asesoría y consultoría de las empresas. Se utilizan los datos de la Encuesta Económica Anual y un diseño de regresión discontinua para estimar el efecto causal de la reforma de precios de transferencia sobre el pago de impuesto a la renta y el gasto en asesoría y consultoría de las empresas. Se encuentra que las empresas afectadas por la intervención pagaron un mayor impuesto a la renta en el 2017. Si bien se encontró un efecto negativo en el pago de impuesto a la renta en el 2018, no se encontró evidencia concluyente de que el gasto en servicios de asesoría y consultoría produjo dicho efecto.","Empresas--Impuestos--Derecho y legislación--Perú
Precios--Regulación--Perú
Transparencia fiscal",Enfrentando el abuso fiscal empresarial en Perú: La reforma de precios de transferencia,https://purl.org/pe-repo/renati/type#tesis
54,"Tello Pacheco, Mario Delfín","Espinoza Espinoza, Sharon Filomena
Silupú Peñaranda, Collin Rodrigo Luisin",2022-09-02,2022,"Usando datos a nivel empresa, esta investigación tiene como objetivo identificar los factores microeconómicos que determinan la participación y la intensidad de la participación de las empresas peruanas en las Cadenas Global de Valor (CGV). Para ello, se utilizaron datos de la Encuesta de Empresas del Banco Mundial para Perú del año 2017 con una muestra de 451 empresas de manufactura y servicios. Los resultados obtenidos van acorde a la hipótesis planteada. Se encontró que el mayor porcentaje de propiedad extranjera y el acceso al crédito son factores importantes para la participación e intensidad de participación de las empresas en las CGV. El poseer un certificado internacional es relevante para su participación en las CGV. Además, los resultados mostraron que las empresas pequeñas poseen mayores dificultades de participar y de aumentar su nivel de participación a comparación de las grandes empresas. En suma, esta investigación plantea que los vínculos comerciales, los vínculos financieros y la mejora tecnológica son factores relevantes para promover la participación de las empresas peruanas en las CGV.","Microeconomía
Cadena de valor
Empresas--Perú",Determinantes Microeconómicos de la Participación de las Empresas Peruanas en las Cadenas Globales de Valor,https://purl.org/pe-repo/renati/type#tesis
55,"Contreras Carranza, Carlos Alberto","Cuyubamba Quispe, Rodrigo Rafael",2022-08-10,2022,"La actividad minera en el Perú es una fuente de ingresos importantes para el mismo. Sin embargo, de igual manera, es objeto de crítica debido a los diferentes tipos de externalidades negativas que se llevan a cabo durante y posterior al proceso de producción. Entonces, se requiere conocer de qué manera el beneficio económico que provee esta actividad hacia el país podría beneficiar a los pobladores aledaños a las minas, que son perjudicados por las diferentes externalidades mencionadas. El presente estudio utiliza a la minera Yanacocha S.R.L, y a la ciudad de Cajamarca y distritos aledaños, dada la magnitud de la actividad minera de la mencionada mina sobre la ciudad, para conocer lo mencionado, a una escala departamental. La presente investigación tiene como objetivo averiguar y analizar el impacto de la actividad minera de Yanacocha S.R.L sobre los ingresos reales de los hogares de los pobladores aledaños a las minas, en Cajamarca y algunos distritos aledaños de otros departamentos aledaños, desde 2007 hasta 2016. Bajo el marco teórico propuesto, la demanda laboral de la minera Yanacocha S.R.L, tanto directa como indirecta, podría provocar un aumento en los ingresos reales de los pobladores aledaños a las minas, indiferentemente si poseen un nivel de educación superior o no. Se concluye que existe un aumento de los ingresos reales de la mano de obra calificada y no calificada dentro del espacio de estudio mencionado; sin embargo, el impacto sobre los ingresos reales de la mano de obra no calificada sería mayor.","Minería--Perú--Cajamarca
Minera Yanacocha S.A.
Salarios
Empresas--Beneficios
Familias",Influencia de la actividad minera sobre los ingresos de los hogares: Caso Yanacocha,https://purl.org/pe-repo/renati/type#tesis
56,"Villavicencio Vásquez, Julio Alberto","Gonzalez Romero, Sonnia del Carmen
Ordoñez Lima, Diana",2022-08-07,2022,"Este trabajo tiene por objetivo principal determinar el efecto de los fondos de pensiones en el desarrollo del mercado de valores, al considerar según el tipo de mercado: emergente o frontera. En ese sentido, se plantea la siguiente hipótesis: la relación entre el sistema de pensiones y el desarrollo del mercado de valores es no lineal. Específicamente, el desempeño del mercado de valores peruano no se asemeja a un mercado emergente; por lo que es importante considerar este hecho para la evaluación del impacto de los fondos de pensiones. Para ello se comparan los principales indicadores del mercado de capitales y macroeconómicos del Perú. Planteada dicha hipótesis, la investigación se basará en el uso de un panel de datos que incluye 32 países clasificados como mercados emergentes y frontera. De manera que, a partir de una ampliación del modelo teórico desarrollado por Calderon-Rosell, se encuentra que el impacto de los fondos de pensiones en el desarrollo del mercado de capitales emergente y frontera es distinto, además de presentar una relación no lineal. En conclusión, aun cuando Perú sea clasificado como emergente, su comportamiento en la práctica como un mercado frontera provoca que el impacto de un mayor tamaño de los fondos de pensiones restrinja el desarrollo del mercado, de manera que, más allá de su clasificación como emergente, debe ser estudiado como frontera.
The main objective of this work is to determine the effect of pension funds on the development of the stock market, considering their classification according to the type of market: emerging or frontier. In that sense, the following hypothesis is raised: the relationship between the pension system and the development of the stock market is non-linear. Specifically, the performance of the Peruvian stock market is not similar to an emerging market; therefore, it is important to consider this fact for the evaluation of the impact of pension funds. To this end, we compare the main capital market and macroeconomic indicators in Peru. Raised this hypothesis, the research will be based on the use of a data panel that includes 32 countries classified as emerging markets and frontiers. Thus, based on an extension of the theoretical model developed by Calderon-Rosell, it is found that the impact of pension funds on the development of the emerging and frontier capital market is different, in addition to presenting a non-linear relationship. In conclusion, even if Peru is classified as an emerging market, its behavior in practice as a frontier market causes the impact of a larger size of pension funds to restrict the development of the market, so that, beyond its classification as an emerging market, it should be studied as a frontier one.","Fondos de pensiones--Perú
Mercado de capitales--Perú
Mercados--Perú
Desarrollo económico--Perú",Análisis del efecto de los fondos de pensiones en el desarrollo del mercado de valores y su implicancia en Perú (1997-2020),https://purl.org/pe-repo/renati/type#tesis
57,"Clausen Lizárraga, Jhonatan Augusto","Godinez Quispe, Abril Selene",2022-07-12,2022,"El objetivo de esta investigación fue evaluar empíricamente la situación de pobreza multidimensional que experimentan las niñas y niños menores de 3 años de edad en el Perú. Usando los datos de la Encuesta Demográfica y de Salud Familiar (ENDES) para el año 2019, se diseñó e implementó un Índice de Pobreza Multidimensional específico para la Infancia Temprana Preescolar (IPM-ITP) basado en el Método Alkire-Foster (AF) y que consta de 4 dimensiones llamadas ?Salud?, ?Desarrollo Infantil Temprano?, ?Servicios Básicos? y ?Vivienda?. Los resultados muestran que el 29,1% de las niñas y niños menores de tres años sufren privación en al menos 2 de las 4 dimensiones incluidas en el IPM-ITP. Las niñas y niños que residen en áreas rurales (68.8%) muestran una mayor tasa de recuento de pobreza que los que residen en áreas urbanas (16.8%). A nivel nacional, los niños (30,7%) experimentan mayor incidencia de pobreza que las niñas (27,4%). Esta investigación contribuye a la literatura sobre pobreza infantil en países de ingresos medios y bajos de tres formas: (i) propone una medida de pobreza multidimensional que presenta a las niñas y niños menores de tres años como unidad de análisis y de identificación; (ii) incorpora dimensiones e indicadores que no han sido propuestos previamente en los estudios de pobreza multidimensional en la infancia temprana; y (iii) complementa los estudios de pobreza monetaria en la infancia motivando la incorporación de una perspectiva multidimensional, en este caso, para la infancia temprana preescolar para países de ingresos medios y bajos.","Niños pobres--Perú
Pobreza--Perú
Desarrollo infantil--Perú",Pobreza multidimensional en la infancia temprana preescolar: una evaluación comprehensiva para el caso peruano,https://purl.org/pe-repo/renati/type#tesis
58,"Alvarado Guerrero, Javier Gonzalo","Cordero Montes, Jaime Eduardo",2022-06-18,2022,"La agricultura familiar representa una parte importante en la actividad económica del Perú, debido a que constituye el principal sustento económico de millones de sus habitantes, asegura la producción de alimentos saludables a nivel nacional y provee la mayor cantidad de alimentos del país. Por ello, en base a la información del IV CENAGRO (INEI, 2013), la investigación buscó identificar los factores que poseen el nivel de influencia más significativo en la probabilidad de que la mayor parte de producción agrícola en la agricultura familiar sea destinada al mercado. Para un análisis homogéneo entre regiones, se estandarizaron las tierras de acuerdo al trabajo de Eguren y Pintado (2015), así como también se dividió la agricultura familiar en tres categorías (subsistencia, intermedia y excedentaria), basado en la tipificación propuesta por la FAO (2014) y Maletta (2017). Asimismo, se utilizó un modelo Probit según el carácter de consumidor-productor que posee el productor familiar. De esta manera, entre los principales hallazgos, se encontró que el número de parcelas, el acceso al crédito y la asociatividad son las variables que más influyen en la probabilidad de que la mayor parte de la producción agrícola sea destinada al mercado.","Familias rurales--Perú
Productividad agrícola--Mercadotecnia--Perú
Agricultura--Aspectos económicos--Perú",Determinantes de la producción destinada al mercado en la agricultura familiar peruana,https://purl.org/pe-repo/renati/type#tesis
59,"Clausen Lizárraga, Jhonatan Augusto","Inocente Collahuacho, Miluska Nathaly",2022-06-18,2022,"Esta investigación estima el efecto de la exposición a episodios de violencia en el hogar y en la escuela sobre la conducta y la aceptación de la violencia por parte de niños de 9 a 11 años en el Perú. Para ello, utilizando los datos de la Encuesta Nacional de Relaciones Sociales (ENARES) del 2019, se clasifican los episodios de violencia contra los niños según tipo, nivel de severidad y contexto, y se construyen un conjunto de indicadores de exposición a diversas formas de violencia. Asimismo, para identificar a aquellos niños que padecen distintos tipos de violencia de manera simultánea, se utiliza la metodología de Alkire y Foster (2008, 2011) para construir tres grupos de índices de exposición a episodios de violencia: uno que incluye solo casos de violencia en el hogar, otro que incluye solo casos de violencia en la escuela y un tercero que incluye ambos contextos. En ese sentido, mediante la estimación de una serie de modelos logit, los principales resultados muestran que el incremento en un punto porcentual en el puntaje de la exposición a violencia en el hogar y en la escuela se asocia al incremento en 77.1% de la probabilidad de que el niño presente conducta violenta hacia sus pares y en 52% la probabilidad de que el niño acepte el castigo físico de sus padres y profesores en su corrección, mientras que se asocia a un incremento en 45.3% con la probabilidad de que el niño presente tanto conductas y actitudes violentas.","Niños y violencia--Perú
Violencia familiar--Perú
Violencia escolar--Perú",¿La violencia genera más violencia? Efectos de vivir en un entorno violento sobre la conducta y la aceptación de la violencia en niños de 9 a 11 años en el Perú,https://purl.org/pe-repo/renati/type#tesis
60,"Castillo Bardalez, Paul Gonzalo","Moreno Lau, Jose Eduardo",2022-06-16,2022,"Aplicamos la metodología del Growth at Risk en el contexto del Perú con el objetivo de identificar los periodos de mayor riesgo macrofinanciero entre 1995 y 2020, así como analizar sus determinantes. Además, aplicamos la metodología del Model Confidence Set para evaluar la robustez de nuestras proyecciones con el objetivo de determinar la distribución de probabilidad que nos permite obtener proyecciones derivadas del GaR más precisas. Nuestros resultados indican lo siguiente: entre los años 1995 y 2020, los periodos de mayor riesgo macrofinanciero sobre el PBI del Perú tuvieron lugar en los escenarios de la crisis asiática en 1997-1998, la crisis bursátil ?Puntocom? en 2001, la Crisis Financiera Internacional en 2008-2009, el Taper Tantrum en 2013-2014 y la crisis económica mundial derivada del Covid-19 en 2020; al analizar los últimos tres escenarios listados previamente, encontramos que los determinantes del riesgo macrofinanciero del Perú son dinámicos y varían en importancia relativa según cada escenario; bajo un escenario de crisis, las mejores proyecciones provienen del GaR5% y de la distribución Cauchy sesgada; bajo un escenario de no crisis, las mejores proyecciones provienen de la mediana condicional y de la distribución T-student sesgada; y que las proyecciones derivadas del GaR tienen mayor precisión predictiva que las estimaciones del BCRP publicadas en el Reporte de Inflación.","Riesgo financiero--Perú
Administración de riesgos--Perú
Análisis de regresión--Perú","Determinantes del riesgo macrofinanciero en el Perú: una aplicación del modelo Growth at Risk (GaR) en los contextos adversos de los años 2009, 2014 y 2020",https://purl.org/pe-repo/renati/type#tesis
61,"Silva Macher, José Carlos","Morales Capuñay, Miguel Angel",2022-05-26,2022,"Los estragos producidos como consecuencia de la actividad humana en el funcionamiento del ecosistema se han convertido en prioridad en los últimos años. Un ámbito clave en el que se ha puesto mayor énfasis es el sistema alimentario. Debido a que este proporciona los alimentos necesarios para las sociedades, pero, al mismo tiempo, involucra una de las actividades que mayor impacto ambiental ocasiona, la agricultura. Adicionalmente, el crecimiento demográfico mundial, los problemas del cambio climático y el aumento de la demanda de alimentos supondrán una serie de retos para los tomadores de políticas con respecto a la sostenibilidad del sistema. Por ello, se hace fundamental comprender el comportamiento del sistema alimentario a través de las distintas escalas y niveles en las que interactúa. Este documento de tesis propone el MuSIASEM como una herramienta analítica capaz de mejorar nuestra comprensión del sistema alimentario, porque integra coherentemente variables sociales, económicas y ambientales; manteniendo, en todo momento, la pertinencia de escala y nivel. El MuSIASEM proporciona una caracterización del estado del sistema (modo diagnóstico) y una exploración de los futuros limitantes biofísicas (modo anticipación). Para demostrar su potencial analítico se implementó en el sistema alimentario del Perú. Los resultados indican un alto grado de dependencia de las importaciones en el grupo de alimentos del tipo cereales que se ha posicionado como un factor clave en el estudio de la sostenibilidad y la seguridad del sistema alimentario.","Abastecimiento de alimentos--Perú
Agricultura--Aspectos ambientales--Perú
Productividad agrícola--Perú",La gramática del MuSIASEM como herramienta de representación para el análisis de la sostenibilidad del sistema alimentario en el Perú.,https://purl.org/pe-repo/renati/type#tesis
